CNO,SNO,CTITLE,CID,CREDIT
Course Number(課程系統編碼),Subject Number(科目類別編號),Course(課程名稱),Course ID(課程代碼),Course Credit(學分數)
20001a,RD,經濟學上,52000,3
20002a,RD,會計學上,43060,3
20003,RD,企業概論,41011,3
20004,RD,微積分乙,24384,3
20001b,RD,經濟學下,52000,3
20002b,RD,會計學下,43060,3
20005,RD,管理學,41012,3
20006a,RD,統計學上,69901,3
20006b,RD,統計學下,69902,3
20007,RD,行銷管理,41016,3
20008,RD,人力資源管理,41062,3
20009,RD,管理會計,43050,3
20010,RD,資訊管理,28108,3
20011,RD,財務管理,41032,3
20012,RD,管理科學,41200,3
20013,RD,作業管理,41157,3
20014,RD,企業政策,41052,3
20015,RD,商事法,49006,2
20016,RD,畢業專題,53354,3
30001,RG-M,消費者行為,42014,3
30002,RG-M,行銷通路管理,41100,3
30003,RG-S,服務創新與管理,41562,3
30004,RG-S,創新與創業精神,41455,3
30005,RG-M,數位經營策略,41445,3
30006,RG-M,數位行銷,41444,3
30007,RG-S,服務體驗與設計,41524,3
30008,RG-S,商業模式設計,41456,3
30009,RG-M,品牌管理,41277,3
30010,RG-M,數位行銷實務,41446,3
30011,RG-S,創業財務分析與評估,41565,3
30012,RG-S,創新與創業實務,41564,3
10001a,RS,中文上,11970,2
10001b,RS,中文下,11970,2
10002a,RS,大一英文上,16058,3
10002b,RS,大一英文下,16058,3
10003a,RS,大二英文上,16104,2
10003b,RS,大二英文下,16104,2
10004,RS,AI思維與程式設計,01019,2
10005,RS,國防,01014,0
10006a,RS,大一體育上,02238,0
10006b,RS,大一體育下,02238,0
10007a,RS,大二體育上,02252,0
10007b,RS,大二體育下,02252,0
60001,SG,勞作教育,03i67,1
50001,SD,英語會話,12123,2
50002,SD,學習輔導實務(二),28383,3
50003,SD,科技與創新管理,33125,3
50004,SD,企業資源規劃,33133,3
50005,SD,組織行為,41018,3
50006,SD,金融市場,41029,3
50007,SD,行銷研究,41045,3
50008,SD,國際企業管理,41054,3
50009,SD,零售管理,41055,3
50010,SD,行銷企劃實務,41193,2
50011,SD,商用資料庫,41213,3
50012,SD,服務管理,41215,2
50013,SD,顧客關係管理,41269,3
50014,SD,智慧財產權管理,41318,3
50015,SD,系統思考,41332,3
50016,SD,企業資源規劃系統實務,41333,3
50017,SD,投資決策分析,41352,3
50018,SD,事業經營專題,41372,3
50019,SD,行銷通路管理實務,41379,3
50020,SD,內部控制與稽核實務,41384,3
50021,SD,市場調查與分析,41394,3
50022,SD,問題分析與決策,41415,3
50023,SD,企業實習,41422,3
50024,SD,企業實習–服務業管理,41429,3
50025,SD,企業實習–一般管理,41430,3
50026,SD,技術創新及商品化,41438,2
50027,SD,創新與創業專題,41471,3
50028,SD,國際職場英語溝通,41474,2
50029,SD,產業分析與投資實務,41498,3
50030,SD,整合行銷傳播,41501,3
50031,SD,企業管理專題與實務,41506,3
50032,SD,商務網站設計與經營,41518,3
50033,SD,企業個案選讀與研討,41520,3
50034,SD,金融科技概論,41522,3
50035,SD,永續創新經營,41523,3
50036,SD,行銷大數據與資料探勘,41526,3
50037,SD,服務學習：活動企劃與執行(一學分),41537,1
50038,SD,轉型創新與創業,41540,3
50039,SD,企業管理專題,41541,1
50040,SD,多媒體設計（一）,41542,3
50041,SD,多媒體設計（二）,41543,3
50042,SD,AI MarTech行銷科技與應用,41550,3
50043,SD,智慧零售,41551,3
50044,SD,商務英文寫作,41553,2
50045,SD,職場英文寫作,41554,2
50046,SD,智慧服務創新實務,41555,3
50047,SD,管理職能實務講座,41571,3
50048,SD,英語閱讀與文法,41575,3
50049,SD,圖解英文文法,41576,3
50050,SD,學習輔導實務,41577,2
50051,SD,服務學習：活動企劃與執行(二學分),41578,2
50052,SD,智慧行銷專題,41580,3
50053,SD,企業實作專題,44150,3
50054,SD,行動商務程式設計,49064,3
50055,SD,商用英文,52072,2
50056,SD,翻轉思考與數位行銷(三學分),53475,3
50057,SD,翻轉思考與數位行銷(二學分),53490,2
50058,SD,English Conversation,91037,2
50059,SD,真實烏托邦計畫與服務設計實作,55g17,3
50060,SD,企業實習–經營與貿易,42201,3
50061,SD,企業實習–資訊系統實務,49088,3
50062,SD,碩士論文,68006,3
50063,SD,科技管理,33087,3
50064,SD,品牌管理與整合行銷傳播,41566,3
50065,SD,數位行銷科技實務,41567,3
50066,SD,全通路行銷與新零售,41568,3
50067,SD,創新轉型個案研討,41569,3
50068,SD,新創團隊組織領導,41570,3
50069,SD,產業創新與投資分析,41572,3
50070,SD,企業永續策略與實踐,41556,3
50071,SD,企業規劃與政策設計,41347,3
50072,SD,策略管理,42040,3
50073,SD,組織理論與管理,41153,3
50074,SD,企業研究方法,41132,3
50075,SD,行銷智能與數據分析,41557,3
50076,SD,消費者行為與社群行銷,41559,3
50077,SD,服務管理與設計,41560,3
50078,SD,商業模式創新與設計,41561,3
50079,SD,社會責任專題研討,41529,3
50080,SD,國際財務管理,41034,3
50081,SD,國際行銷與跨域創業,41573,2
